Startup Name,Industry,Founding Year,Unicorn Entry Year,Profit in 2021,Current Valuation,Acquisitions,IPO Status
Industry,"Software, Cloud Data Services, Cloud Security, Saas"
Founders,"Jaspreet Singh, Milind Borate, Ramani Kothandaraman"
Founded,2008
Investors,"Sequoia Capital India, Viking Global, Indian Angel Network"
Products and Services,Data protection solutions
Valuation,$2 billion (April 2021)
Startup Name,Rivigo
Headquarters,"Gurgaon, Haryana, India"
Industry,"Automotive, Logistics"
Founders,"Deepak Garg, Gazal Kalra"
Founded,2014
Investors,"Elevation capital, Trifecta Capital"
Products and Services,Cargo and freight services
Valuation,$1.09 billion (January 2021)
Startup Name,Polygon Technology
Headquarters,"Bengaluru, Karnataka, India"
Industry,Blockchain
Founders,"Anurag Arjun, Jaynti Kanani, Mihailo Bjelic, Sandeep Nailwal"
Founded,2018
Investors,"Sequoia Capital, Mark Cuban, Coinbase Ventures"
Products and Services,Ethereum scaling platform
Valuation,$10 billion (February 2022)
Startup Name,MindTickle
Headquarters,"San Francisco, California, U.S"
Industry,"Saas, Enterprise software"
Founders,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali"
Founded,2011
Investors,"Softbank Vision Fund, Qualcomm Ventures"
Products and Services,Enterprise software
Valuation,$1.2 billion (August 2021)
Startup Name,Delhivery
Headquarters,"Gurgaon, Haryana, India"
Industry,"E-commerce, Freight services"
Founders,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan"
Founded,2011
Investors,"FedEx, Fidelity, Steadview Capital, Tiger Global management"
Products and Services,Cargo and freight services
Valuation,$4 billion (June 2021)
Startup Name,Billdesk
Headquarters,"Ahmedabad, Gujarat, India"
Industry,"Fintech, Finance, Payments"
Founders,Ajay Kaushal
Founded,2000
Investors,"Visa, TA Associates, SBI, General Atlantic"
Products and Services,Payment services
Valuation,Over $1 billion (December 2020)
Startup Name,Mu Sigma
Headquarters,"Bengaluru, Karnataka, India"
Industry,"Analytics, IT, Software"
Founders,DHIRAJ C RAJARAM
Founded,2004
Investors,"Mastercard, General Atlantic, Sequoia Capital"
Products and Services,"Saas, Big Data Analytics software"
Valuation,$1.5 billion (2013)
Startup Name,MPL
Headquarters,Bengaluru
Industry,"Gaming, ESports"
Founders,"Sai Srinivas Kiran G, Shubh Malhotra, Shubham Malhotra"
Founded,2018
Investors,"Sequoia, Moore Strategic Ventures, Legatum Capital"
Products and Services,EGaming platform
Valuation,$2.3 Billion (September 2021)
Startup Name,Apna
Headquarters,"Mumbai, Maharashtra"
Industry,"Employment, Recruiting, Human Resources"
Founders,Nirmit Parikh
Founded,2019
Investors,"Sequoia Capital, Tiger Global Management, Lightspeed"
Products and Services,Professional networking platform and job portal
Valuation,$1.1 Billion (September 2021)
Startup Name,Vedantu
Headquarters,Bangalore
Industry,Edtech
Founders,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, and Anand Prakash"
Founded,2011
Investors,"Coatue, Tiger Global Management, WestBridge Capital, Accel Partners"
Products and Services,"Online tutoring, courses and classes"
Valuation,$1 Billion+ (September 2021)
Startup Name,Licious
Headquarters,Bangalore
Industry,"Ecommerce, Food delivery, Meat packaging"
Founders,"Abhay Hanjura, Vivek Gupta"
Founded,2015
Investors,"Bertelsmann, Mayfield Fund, Vertex Growth Fund, 3one4 Capital"
Products and Services,"Meat, fish, eggs packaging and delivery services"
Valuation,$1 Billion+ (October 2021)
Startup Name,CoinSwitch Kuber
Headquarters,"Bengaluru, India"
Industry,"Cryptocurrencies, Financial Services"
Founders,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari"
Founded,2017
Investors,"Paradigm, Ribbit Capital, Sequoia Capital, Tiger Global Management"
Products and Services,Cryptocurrency exchange platform
Valuation,$1.9 Billion (October 2021)
Startup Name,Rebel Foods
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Ecommerce, Food Delivery"
Founders,"Jaydeep Barman, Kallol Banerjee"
Founded,2011
Investors,"Coatue, Alteria Capital, Irving Investors"
Products and Services,Food Delivery platform
Valuation,$1.4 billion (October 2021)
Startup Name,CarDekho
Headquarters,"Gurgaon, Haryana, India"
Industry,"Automotive, Ecommerce"
Founders,"Amit Jain, Anurag Jain"
Founded,2007
Investors,"Sequoia Capital India, HDFC Bank, LeapFrog Investments"
Products and Services,"Cars, Used cars retailing services"
Valuation,$1.2 billion (October 2021)
Startup Name,MobiKwik
Headquarters,"Gurgaon, Haryana, India"
Industry,"Fintech, Payments, Mobile Payments"
Founders,"Bipin Singh, Upasana Taku, Chandan Joshi"
Founded,2009
Investors,"Sequoia Capital India, Hindustan Media Venture, Abu Dhabi Investment Authority"
Products and Services,Digital payments platform
Valuation,$1 billion (October 2021)
Startup Name,Acko
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Insurtech, Insurance, Health insurance, Auto insurance"
Founders,"Ruchi Deepak, Varun Dua"
Founded,2016
Investors,"Munich Re Ventures, Amazon, General Atlantic, Multiples Alternate Asset Management Private Limited"
Products and Services,"Car, bike and health insurance products"
Valuation,$1.1 billion (October 2021)
Startup Name,CureFit
Headquarters,"Bengaluru, India"
Industry,"Healthcare, wellness"
Founders,"Ankit Nagori, Mukesh Bansal"
Founded,2016
Investors,"Temasek Holdings, Accel, Tata Digital, Zomato, Axis Bank"
Products and Services,"Nutrition products, Consultation services for mental and well-being"
Valuation,$1.5 billion (November 2021)
Startup Name,Mensa
Headquarters,"Bengaluru, India"
Industry,"Financial services, Venture capital"
Founders,"Ananth Narayanan, Pawan Kumar Dasaraju"
Founded,2021
Investors,"Alpha Wave Incubation, Norwest Venture Partners, Accel, Falcon Edge Capital"
Products and Services,"finance, working capital"
Valuation,$1 billion+ (November 2021)
Startup Name,NoBroker
Headquarters,"Bengaluru, India"
Industry,"PropTech, Real State, Property Management"
Founders,"Akhil Gupta, Amit Kumar Agarwal, Saurabh Garg"
Founded,2014
Investors,"Tiger Global Management, General Atlantic, Trifecta Capital, BEENEXT"
Products and Services,Peer-to-peer property listings platform
Valuation,$1 billion+ (November 2021)
Startup Name,Spinny
Headquarters,"Gurgaon, India"
Industry,"Automotives, Used car marketplace"
Founders,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur"
Founded,2015
Investors,"Tiger Global Management, General Atlantic, Trifecta Capital, BEENEXT"
Products and Services,Used car listing and selling platform
Valuation,$1.7 billion+ (November 2021)
Startup Name,Upstox
Headquarters,"Mumbai, India"
Industry,"Fintech, Financial services, Trading platform"
Founders,"Raghu Kumar, Ravi Kumar, Shrinivas Viswanath"
Founded,2010
Investors,"Tiger Global Management, GVK Davix Technologies"
Products and Services,Trading platform
Valuation,$1 billion+ (November 2021)
Startup Name,Slice
Headquarters,"Bengaluru, India"
Industry,"Fintech, Financial services, Banking"
Founders,"Deepak Malhotra, Rajan Bajaj"
Founded,2016
Investors,"Insight Partners, Tiger Global Management"
Products and Services,"Credit cards, Payment cards"
Valuation,$1 billion+ (November 2021)
Startup Name,Pristyn Care
Headquarters,"Haryana, India"
Industry,"Healthtech, Health care"
Founders,"Harsimarbir (Harsh) Singh, Dr. Garima Sawhney and Vaibhav Kapoor"
Founded,2018
Investors,"Tiger Global Management, Hummingbird Ventures"
Products and Services,Healthcare services
Valuation,$1.2 billion (December 2021)
Startup Name,GlobalBees
Headquarters,"New Delhi, India"
Industry,Investment
Founders,"Nitin Agarwal, Supam Maheshwari"
Founded,2021
Investors,FirstCry
Products and Services,"Working capital, Resources"
Valuation,$1.1 billion+ (December 2021)
Startup Name,Mamaearth
Headquarters,"Gurgaon, India"
Industry,"Ecommerce, Health and Wellness"
Founders,Varun and Ghazal Alagh
Founded,2016
Investors,"Sofina, Sequoia Capital"
Products and Services,"Beauty, baby care, skin care, body care products and more"
Valuation,$1.1 billion+ (December 2021)
Startup Name,Fractal
Headquarters,"New York, United States"
Industry,"Analytics, Artificial Intelligence"
Founders,"Ramakrishna Reddy, Pranay Agrawal, Srikanth Velamakanni"
Founded,2000
Investors,"Apax Partners, Khazanah Nasional, Aimia"
Products and Services,Consultancy services
Valuation,$1 billion+ (January 2022)
Startup Name,LEAD School
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Edtech, E-learning, Education"
Founders,"Smita Deorah, Sumeet Mehta"
Founded,2012
Investors,"GSV Ventures, Westbridge Capital, Elevar Equity"
Products and Services,Educational services
Valuation,$1.1 billion (January 2022)
Startup Name,Darwinbox
Headquarters,"Hyderabad, Andhra Pradesh, India"
Industry,"Saas, Artificial Intelligence, Machine Learning"
Founders,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni"
Founded,2015
Investors,"TCV, Salesforce Ventures, Sequoia Capital, Lightspeed Partners"
Products and Services,Enterprise HR software
Valuation,$1 billion+ (January 2022)
Startup Name,DealShare
Headquarters,"Bengaluru, Andhra Pradesh, India"
Industry,"Ecommerce, Grocery"
Founders,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, and Vineet Rao"
Founded,2018
Investors,"Tiger Global, Alteria Capital, Alpha Wave Global, Innoven Capital and other"
Products and Services,Grocery and other consumer products via its ecommerce business
Valuation,$1.62 billion+ (January 2022)
Startup Name,ElasticRun
Headquarters,"Pune, Maharashtra, India"
Industry,"Ecommerce, Logistics, Transportation"
Founders,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal"
Founded,2015
Investors,"Softbank, Kalaari, Prosus, Innoven, Norwest Venture Partners and more"
Products and Services,"Online system, logistics and transportation support"
Valuation,$1 billion+ (February 2022)
Startup Name,Livspace
Headquarters,"Bengaluru, Karnataka, India"
Industry,"Ecommerce, Furniture, Interior design"
Founders,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag"
Founded,2014
Investors,"Trifecta, Saint Gobain, Bessemer Venture, Helion Venture, Kharis Capital, and more"
Products and Services,Interior Design solutions
Valuation,$1.44 billion+ (February 2022)
Startup Name,Xpressbees
Headquarters,"Pune, Maharashtra, India"
Industry,"Ecommerce, Logistics, Supply Chain Management"
Founders,"Amitava Saha, Supam Maheshwari"
Founded,2015
Investors,"Blackstone Capital, TPG Growth, Gaja Capital, Alibaba Group, InnoVen Capital and more"
Products and Services,"Express delivery services, ecommerce logistics services"
Valuation,$1 billion+ (February 2022)
Startup Name,Uniphore
Headquarters,"Chennai, Tamil Nadu, India and Palo Alto, California, USA"
Industry,"AI, Saas, Software"
Founders,"Ravi Saraogi, Umesh Sachdev"
Founded,2008
Investors,"IIFL, Sorenson, March Capital, Chiratae Ventures and more"
Products and Services,auMina and akeira and other software products
Valuation,$2.5 billion+ (February 2022)
Startup Name,Hasura
Headquarters,"Bengaluru, Karnataka, India"
Industry,Software
Founders,Rajoshi Ghosh and Tanmay Gopal
Founded,2017
Investors,"Greenoaks, Lightspeed Venture Partners, Vertex Ventures and more"
Products and Services,GraphQL development platform
Valuation,$1 billion+ (February 2022)
Startup Name,CredAvenue
Headquarters,"Chennai, Tamil Nadu, India"
Industry,"Fintech, Finance, PaaS"
Founders,Gaurav Kumar and Vineet Sukumar
Founded,2017
Investors,"Dragoneer, B Capital Group, Insight Partners, Sequoia Capital and more"
Products and Services,"CredLoan, CredCo-Lend, Plutus"
Valuation,$1.3 billion+ (March 2022)
Startup Name,Amagi
Headquarters,"New York, US"
Industry,"Media, Advertising, Entertainment"
Founders,"Baskar Subramanian, Srinivasan KA, Srividhya Srinivasan"
Founded,2008
Investors,"Accel, Mayfield, Premjiinvest, Emerald Media and more"
Products and Services,Cloud solutions for broadcasting
Valuation,$1 billion+ (March 2022)
Startup Name,CommerceIQ
Headquarters,"Palo Alto, California, USA"
Industry,"Machine Learning, AI, Ecommerce"
Founders,Guru Hariharan
Founded,2012
Investors,"Softbank, Insight, Shasta Ventures and more"
Products and Services,Tools and technology for bettering ecommerce
Valuation,$1 billion+ (March 2022)
Startup Name,Oxyzo
Headquarters,"Gurgaon, Haryana, India"
Industry,"Fintech, Financial Services, Lending"
Founders,"Asish Mohapatra, Bhuvan Gupta, Nitin Jain, Ruchi Kalra, Vasant Shridhar"
Founded,2016
Investors,"Alpha Wave, LLC, Matrix, Capital Management, Tiger Global, Norwest and more"
Products and Services,Financial Services
Valuation,$1 billion+ (March 2022)
Startup Name,Games 24x7
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Gaming, Fantasy Sports"
Founders,"Bhavin Pandya, Trivikraman Thampy"
Founded,2006
Investors,Malabar Investment and more
Products and Services,Gaming platform
Valuation,$1 billion+ (April 2022)
Startup Name,Open
Headquarters,"Bangalore, Karnataka, India"
Industry,"Fintech, Financial Services, Banking"
Founders,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko"
Founded,2017
Investors,"Temasek, IIFL, Trifecta and more"
Products and Services,Neobanking services
Valuation,$1 billion+ (May 2022)
Startup Name,PhysicsWallah
Headquarters,"Noida, UP, India"
Industry,"Edtech, Elearning"
Founders,Alakh Pandey
Founded,2016
Investors,"Westbridge, and GSV Ventures"
Products and Services,"Tutoring, Study materials for Classes 6-12, and Live Courses for them and for the other entrance examinations like JEE, NEET and more"
Valuation,$1.1 billion+ (June 2022)
Startup Name,Purplle
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Beauty, Cosmetics, Ecommerce"
Founders,"Manish Taneja, Rahul Dash"
Founded,2012
Investors,"Blume Ventures, Kedaara Capital, PremjiInvest, Goldman Sachs and more"
Products and Services,"Ecommerce platform for cosmetics and beauty products including haircare, skincare products and more"
Valuation,$1.1 billion+ (June 2022)
Startup Name,LeadSquared
Headquarters,"Bengaluru, Karnataka, India"
Industry,"Saas, Technology"
Founders,"Nilesh Patel, Prashant Singh, and Sudhakar Gorti"
Founded,2011
Investors,"WestBridge Capital, International Finance Corporation, Gaja Capital and more"
Products and Services,"Marketing Automation, Field Force Automation, Self-serve Portal, Sales Execution CRM, Sales Performance Suite"
Valuation,$1 billion+ (June 2022)
Startup Name,OneCard
Headquarters,"Pune, Maharashtra, India"
Industry,"Financial Services, Credit card challenger"
Founder,"Vaibhav Hathi, Rupesh Kumar, Anurag Sinha"
Founded,2018
Investors,"Sequoia Capital, Ocean View Investment, QED Holdings, Matrix Partners, Hummingbird and more"
Products and Services,"Metal credit cards, Visa credit cards, OneScore"
Valuation,$1.3 billion (FY22)
Startup Name,5ire
Headquarters,"London, England, UK"
Industry,Blockchain Network
Founder,"Pratik Gauri, Prateek Dwivedi, and Vilma Mattila"
Founded,August 2021
Investors,"SRAM & MRAM, GEM Global Yield LLC SCS (GGY), Launchpool, Sanctum Global Ventures"
Products and Services,"5th generation Layer-1 (L1) blockchain network, 5irechain testnet, mainnet"
Valuation,$1.5 billion (July 2022)
Startup Name,Shiprocket
Headquarters,"New Delhi, India"
Industry,"Ecommerce, Logistics, Supply Chain Management"
Founders,"Gautam Kapoor, Saahil Goel, Vishesh Khurana and Akshay Ghulati"
Founded,2017
Investors,"Tamesek Holdings, Lightrock, Bertelsmann, Moore Strategic Ventures"
Products and Services,"Ecommerce Logistics and Shipping Software, Courier Delivery App"
Valuation,$1.2 billion (August 2022)
